sn,id,submitted_on,First_Gambit,Prime_Response,visit_url,referrer_url,Conversation_Duration_ms,user_device,user_ip
1,69a91e87,Mar 05 2026 11:43 AM,Upgrade Offer,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,107278,Mobile (iPhone),98.183.254.200
2,69a91de2,Mar 05 2026 11:42 AM,Explore Platinum,Amen,https://chatbot.hellotars.com,https://www.amenclinics.com,225672,Desktop,91.73.110.249
3,69a91d03,Mar 05 2026 11:38 AM,Upgrade Offer,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,231107,Mobile (iPhone),76.237.95.47
4,69a91cb7,Mar 05 2026 11:36 AM,Explore Platinum,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,171876,Desktop,143.105.21.198
5,69a91c51,Mar 05 2026 11:32 AM,Fees,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,43530,Desktop,73.135.95.101
6,69a91bc5,Mar 05 2026 11:31 AM,Upgrade Offer,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,136013,Mobile (Android),96.35.242.4
7,69a91b1d,Mar 05 2026 11:29 AM,Platinum Benefits & Offers,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,184779,Mobile (iPhone),35.139.82.142
8,69a9192b,Mar 05 2026 11:19 AM,Upgrade Offer,Amen,https://chatbot.hellotars.com,https://www.amenclinics.com,41300,Mobile (Android),208.80.210.205
9,69a91460,Mar 05 2026 10:59 AM,Explore Platinum,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,98563,Desktop,75.142.113.20
10,69a913fc,Mar 05 2026 10:59 AM,Platinum Benefits & Offers,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,168632,Mobile (iPhone),64.187.211.45
11,69a912b6,Mar 05 2026 10:51 AM,I'm interested in applying!,Amen,https://chatbot.hellotars.com,https://www.amenclinics.com,15758,Desktop,45.26.102.87
12,69a90fe4,Mar 05 2026 10:40 AM,Upgrade Offer,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,95966,Mobile (iPhone),172.58.229.161
13,69a90ed3,Mar 05 2026 10:37 AM,Offer T&C,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,175173,Desktop,107.77.196.98
14,69a90e11,Mar 05 2026 10:34 AM,Explore Platinum,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,180416,Mobile (Android),162.247.243.12
15,69a90d8a,Mar 05 2026 10:38 AM,Fees,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,592248,Desktop,68.193.145.220
16,69a90c8d,Mar 05 2026 10:26 AM,Platinum Benefits & Offers,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,135833,Mobile (iPhone),71.94.195.67
17,69a90c36,Mar 05 2026 10:24 AM,Upgrade Offer,Amen,https://chatbot.hellotars.com,https://www.amenclinics.com,50581,Desktop,104.28.42.112
18,69a908db,Mar 05 2026 10:10 AM,I'm interested in applying!,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,79134,Mobile (iPhone),167.89.112.43
19,69a90590,Mar 05 2026 09:55 AM,Offer T&C,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,15581,Desktop,136.36.211.84
20,69a90439,Mar 05 2026 09:50 AM,Explore Platinum,Before,https://chatbot.hellotars.com,https://www.amenclinics.com,59874,Mobile (Android),50.194.120.38
